,0
0,6432
1,34073
2,181
3,326
4,663
5,936
6,1057
7,2272
8,2987
9,3917
10,4053
11,4366
12,4728
13,4989
14,5328
15,6016
16,8211
17,8320
18,8746
19,9195
20,9512
21,10210
22,10558
23,11513
24,12026
25,12135
26,12352
27,12947
28,14121
29,14284
30,14695
31,15132
32,16043
33,16049
34,16110
35,16242
36,16518
37,17702
38,18513
39,18944
40,19011
41,19285
42,19958
43,20223
44,20458
45,21305
46,21318
47,21343
48,21660
49,22154
50,22246
51,22660
52,22818
53,23095
54,23288
55,23440
56,23731
57,23823
58,24563
59,24591
60,24828
61,24918
62,27622
63,27756
64,28771
65,30410
66,30624
67,30891
68,31055
69,31539
70,31907
71,32035
72,33504
73,33546
74,33744
75,33770
76,34920
77,36537
78,36661
79,36808
80,37352
81,37689
82,38373
83,38403
84,38686
85,39132
86,39184
87,39419
88,40505
89,40840
90,41167
91,41228
92,41530
93,42599
94,43096
95,43226
96,43346
97,43636
98,45033
99,45126
100,45320
101,45783
102,46192
103,46286
104,47293
105,47336
106,47554
107,47675
108,47724
109,47758
110,48030
111,48113
112,48589
113,48794
114,48843
115,49149
116,49401
117,49410
118,49598
119,49612
120,49732
121,49780
122,49848
123,276
124,559
125,619
126,1235
127,1654
128,1800
129,2105
130,2571
131,3215
132,3691
133,3744
134,4173
135,4221
136,4334
137,4338
138,4534
139,5707
140,5957
141,7027
142,7324
143,7608
144,8226
145,8885
146,10575
147,10911
148,11054
149,11092
150,11969
151,12141
152,12152
153,12197
154,12215
155,12222
156,12503
157,12553
158,12965
159,13110
160,13339
161,13458
162,13954
163,13959
164,14486
165,14584
166,15082
167,15395
168,15480
169,15631
170,15751
171,17246
172,17393
173,18120
174,18169
175,18594
176,18796
177,19055
178,19127
179,19245
180,19261
181,19556
182,19713
183,19716
184,19938
185,20072
186,20647
187,20938
188,21407
189,21438
190,21468
191,21730
192,21953
193,22428
194,23871
195,23971
196,24137
197,24299
198,24826
199,25244
200,25374
201,25766
202,26111
203,26145
204,26309
205,27099
206,27146
207,27653
208,27947
209,27975
210,28393
211,28873
212,29325
213,29459
214,29571
215,29691
216,30097
217,30205
218,30327
219,30829
220,31243
221,31634
222,32079
223,32253
224,33079
225,33934
226,34520
227,34547
228,34953
229,35517
230,36359
231,36366
232,36746
233,36825
234,38066
235,38073
236,38108
237,38214
238,39039
239,40500
240,40591
241,41699
242,42747
243,43292
244,43371
245,43584
246,44013
247,44663
248,45109
249,45145
250,45146
251,45343
252,45345
253,45383
254,45421
255,45549
256,45649
257,46050
258,46098
259,46110
260,46171
261,47767
262,47805
263,47954
264,48571
265,48908
266,49098
267,49478
268,49531
269,49666
270,103
271,170
272,218
273,410
274,417
275,596
276,691
277,758
278,863
279,873
280,994
281,1053
282,1118
283,1525
284,1689
285,1707
286,1896
287,1900
288,1971
289,2199
290,2302
291,2408
292,2412
293,2681
294,2721
295,2854
296,3045
297,3160
298,3211
299,3377
300,3494
301,3638
302,3655
303,3732
304,3787
305,3904
306,3987
307,4191
308,4199
309,4279
310,4314
311,4386
312,4438
313,4497
314,4577
315,4688
316,4888
317,4914
318,5371
319,5377
320,5440
321,5445
322,5446
323,5516
324,5620
325,5789
326,5883
327,5921
328,5989
329,6054
330,6169
331,6235
332,6525
333,6564
334,6683
335,6939
336,6949
337,7087
338,7283
339,7521
340,7580
341,7592
342,7595
343,7647
344,7658
345,7949
346,8018
347,8042
348,8189
349,8336
350,8547
351,8669
352,8751
353,8926
354,9013
355,9161
356,9281
357,9324
358,9326
359,9469
360,9552
361,9620
362,9906
363,10027
364,10063
365,10149
366,10327
367,10348
368,10522
369,10582
370,10692
371,10771
372,10850
373,10862
374,11029
375,11089
376,11227
377,11228
378,11264
379,11296
380,11468
381,11868
382,11971
383,12066
384,12204
385,12243
386,12252
387,12567
388,12586
389,12718
390,12743
391,12865
392,12991
393,13023
394,13074
395,13083
396,13090
397,13217
398,13255
399,13398
400,13512
401,13606
402,13665
403,13781
404,13799
405,14016
406,14089
407,14094
408,14382
409,14401
410,14412
411,14449
412,14509
413,14513
414,14540
415,14957
416,14986
417,15056
418,15109
419,15123
420,15143
421,15304
422,15394
423,15627
424,15675
425,15695
426,15708
427,15831
428,15859
429,15908
430,15957
431,16171
432,16177
433,16274
434,16335
435,16412
436,16505
437,16529
438,16562
439,16748
440,16793
441,16850
442,16940
443,16942
444,17185
445,17340
446,17364
447,17391
448,17551
449,17778
450,17789
451,18229
452,18389
453,18390
454,18549
455,18690
456,18887
457,18945
458,18973
459,19044
460,19099
461,19106
462,19155
463,19165
464,19265
465,19272
466,19462
467,19563
468,19632
469,19653
470,19838
471,19887
472,19939
473,20003
474,20065
475,20120
476,20181
477,20199
478,20279
479,20423
480,20448
481,20454
482,20515
483,20591
484,20651
485,20846
486,20889
487,20939
488,21027
489,21127
490,21365
491,21470
492,21620
493,21630
494,21666
495,21680
496,21701
497,21803
498,21894
499,22172
500,22224
501,22265
502,22321
503,22465
504,22498
505,22506
506,22577
507,22626
508,22768
509,22774
510,22826
511,22909
512,22976
513,23010
514,23120
515,23259
516,23301
517,23307
518,23490
519,23539
520,23543
521,23591
522,23804
523,23992
524,24045
525,24057
526,24140
527,24144
528,24371
529,24408
530,24430
531,24872
532,24914
533,24945
534,25245
535,25295
536,25394
537,25489
538,25497
539,25839
540,25975
541,26070
542,26188
543,26365
544,26467
545,26521
546,26677
547,27011
548,27151
549,27300
550,27399
551,27615
552,27752
553,27848
554,27849
555,27872
556,28153
557,28172
558,28191
559,28197
560,28199
561,28220
562,28304
563,28411
564,28659
565,28705
566,28723
