,0
0,48301
1,48634
2,16110
3,23440
4,27752
5,27872
6,28220
7,28659
8,31809
9,34953
10,37004
11,42599
12,43636
13,49410
14,49566
15,49612
16,994
17,9143
18,11264
19,13074
20,17789
21,18887
22,19099
23,19245
24,21283
25,21666
26,24408
27,26270
28,26674
29,36620
30,37332
31,38029
32,41407
33,41530
34,42251
35,43129
36,44293
37,46067
38,47336
39,48113
40,326
41,863
42,1020
43,4728
44,8005
45,8189
46,8746
47,10007
48,12947
49,13433
50,15262
51,15751
52,16518
53,19044
54,19502
55,19953
56,20528
57,20869
58,20939
59,21343
60,22465
61,23259
62,23992
63,24371
64,26188
65,27593
66,29160
67,30484
68,30757
69,30972
70,33911
71,34073
72,36070
73,36366
74,36880
75,37965
76,38108
77,38373
78,39266
79,42086
80,42457
81,43096
82,44342
83,44348
84,44505
85,47389
86,48252
87,48607
88,48835
89,49030
90,49073
91,49099
92,49690
93,49848
94,49940
95,3176
96,3208
97,3302
98,3554
99,3987
100,4053
101,5440
102,8035
103,8547
104,10575
105,12788
106,14303
107,15143
108,16615
109,17106
110,18390
111,18769
112,18801
113,19069
114,20003
115,20199
116,20454
117,20815
118,21996
119,22910
120,22948
121,24531
122,24978
123,27146
124,27300
125,27440
126,27489
127,28411
128,29233
129,30360
130,30577
131,31518
132,31564
133,32113
134,32373
135,32421
136,32950
137,33165
138,33546
139,34462
140,36314
141,36652
142,37125
143,37585
144,37769
145,38284
146,38756
147,39211
148,39495
149,40287
150,41167
151,41441
152,42213
153,42794
154,43453
155,44201
156,44797
157,45126
158,45343
159,45938
160,46110
161,46303
162,46420
163,46443
164,47009
165,47446
166,47637
167,49098
168,49406
169,49418
170,49539
171,49826
172,1593
173,1993
174,4321
175,4712
176,6553
177,6695
178,6939
179,7948
180,11054
181,11092
182,12433
183,14094
184,14486
185,14957
186,14986
187,15025
188,15336
189,15806
190,16270
191,17778
192,18982
193,19400
194,19713
195,20846
196,20943
197,21318
198,21894
199,23095
200,23335
201,23457
202,24914
203,25402
204,26553
205,27203
206,27615
207,27951
208,27988
209,29509
210,29885
211,29899
212,30097
213,30447
214,30929
215,32650
216,32918
217,33275
218,33358
219,33792
220,34316
221,34598
222,34802
223,35475
224,35631
225,35751
226,37012
227,37715
228,38021
229,38713
230,39419
231,40021
232,40081
233,40157
234,40838
235,40852
236,41119
237,43105
238,43226
239,43346
240,43376
241,43426
242,44011
243,44986
244,45959
245,46758
246,47313
247,47403
248,47433
249,47435
250,47734
251,47758
252,47767
253,47873
254,48530
255,48787
256,49259
257,49909
258,49999
259,136
260,596
261,663
262,691
263,819
264,1641
265,2859
266,3293
267,5132
268,5707
269,6432
270,6462
271,7535
272,7580
273,7886
274,8666
275,8786
276,8926
277,9086
278,10771
